Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-.75999999,.75999999,-1.65,-3.6900001,.68000001,.52999997,-1.63,-.23999999,2.3099999,-1.1900001,-2.47,-.28
-.94,-.58999997,-.68000001,-.18000001,.07,-1.62,-2.4400001,-2.0599999,-1.59,.27000001,-1.86,-.23999999
-.40000001,-2,2.6300001,-1.55,-.16,-2.6800001,-.83999997,.28999999,-.66000003,.77999997,-1.62,-.76999998
-1.5700001,-1.79,2.3800001,-1.27,1.02,-.85000002,-.60000002,-1.13,-1.0700001,.75,2.1700001,-1.66
.50999999,.57999998,-.92000002,-2.5,-.73000002,-3.23,-1.38,-.18000001,-3.4400001,-1.47,-.69999999,1.08
.039999999,-.60000002,-1.01,.5,-2.02,-1.6,-.23,-1.9299999,-1.96,-.92000002,-1.96,-1.89
-.14,-1.02,-1.28,-1.9400001,.28999999,-.49000001,.34,-1.22,-1.21,-1.37,-1.47,-2.28
-.19,1.89,-3.5699999,-.30000001,.50999999,-.28999999,-1.62,1.28,.059999999,-2.6099999,.029999999,-.73000002
-2.3199999,.60000002,1.01,-.40000001,-1.79,-2.02,-.67000002,1.72,.60000002,-.76999998,.11,-1.1799999
-1.6900001,-.13,-1.49,-2.5699999,3.8199999,-.97000003,3.98,-.91000003,-.61000001,1.12,-.68000001,-2.5799999
.47999999,-1.21,.16,-.83999997,-.88,-.23,-1.14,.97000003,-1.26,-1.5599999,1.15,-1.16
-.82999998,.15000001,-.64999998,-1.4299999,.85000002,-3.1900001,.23,.34,-1.21,-.80000001,-.34999999,1.42
.51999998,-.91000003,-3.74,-.72000003,-2.6500001,-1.99,-2.0899999,2.1400001,-.63,-2.03,-1.61,.56
-.34,-1.25,3.47,.36000001,-1.04,-.72000003,2.05,-2.76,-1.11,-.55000001,-1.2,-.70999998
-1.59,-.1,-.92000002,1.66,-.12,.89999998,-.34999999,-.88,-.31999999,-1.24,-.31999999,-1.38
.62,-.28999999,-.66000003,-.63,-.98000002,-.079999998,-1.23,-1.73,.61000001,-2.1099999,.70999998,-.5
-.68000001,-.28999999,-.72000003,-1.84,-.99000001,-1.55,.059999999,.91000003,-.77999997,-.44999999,-.28,-.79000002
-.62,-.25999999,-2.3900001,-1.53,-.88,-1.6,-3.6400001,.34,-.02,-.38,.44999999,-.58999997
-.55000001,-.07,.079999998,-1.83,-.88,-2.78,2.03,.029999999,-.81999999,-.99000001,1.3,.88
-2.3599999,.17,-2.0599999,-.20999999,-1.3,-.89999998,-2.72,-3.6099999,.87,-2.3800001,-.28,.16
-1.41,-.46000001,-.20999999,-1.37,-.41,-3.25,-.54000002,.81999999,-.99000001,2.95,-2.54,-1.84
-.62,-1.42,-1.96,-.46000001,-1.34,-.69999999,-1.76,.13,-.76999998,-4.1999998,-1.86,.50999999
-1.16,.27000001,-.1,2.1400001,-1.6,-.51999998,.75,-2.6199999,-.0099999998,-.91000003,-1.01,-1.04
-1.67,1.36,-2.0799999,-.69999999,.50999999,-1.1900001,-.039999999,1.03,-.82999998,.16,-1.23,1.0599999
1.59,-2.5799999,1.1900001,-.40000001,1.09,-1.92,-.56,-1.9,2.0599999,-1.37,-2.27,-.47999999
-1.37,-1.01,-1.17,-1.25,-1.45,-1.3099999,-1.59,-3.3499999,-1.85,-.83999997,-3.54,-1.35
-.56,-.87,-3.3900001,-1.5700001,-2.6900001,-.47,-.50999999,-2.28,-1.42,.41,-1.1799999,-1.16
-.63,-1.11,-.16,-1.22,-2.1700001,-.11,.49000001,-1.28,-.98000002,-.40000001,-1.65,-1.66
-.18000001,1.87,-1.5599999,-2.9100001,-1.09,-.81,1.91,-.94999999,-1.67,-1.54,.74000001,2.1700001
.73000002,-1.21,.17,-3.9100001,.61000001,-.25999999,-.33000001,3.5699999,-1.29,-.99000001,-3.3299999,.74000001
